epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,65564.5,27.889062881469727,0.003730960888788104,0.04518004134297371
1,0.0016012961277738214,0.02480374649167061,0.0019932729192078114,0.033529721200466156
2,0.001017376547679305,0.01989695616066456,0.0014311595587059855,0.02794979326426983
3,0.0007732048979960382,0.017316002398729324,0.0012473363894969225,0.026608441025018692
4,0.0006343754357658327,0.015805479139089584,0.0011674821143969893,0.024938378483057022
5,0.0005457320949062705,0.01472945511341095,0.0009331076289527118,0.02270151488482952
6,0.0004757345304824412,0.013802045956254005,0.0007420163601636887,0.02078115940093994
7,0.00042731064604595304,0.013166096061468124,0.0007308408385142684,0.020982878282666206
8,0.00039606966311112046,0.012723441235721111,0.0007808132213540375,0.02125341072678566
9,0.0003714450285769999,0.01234371680766344,0.0006321768742054701,0.01934288628399372
10,0.0003473008400760591,0.011938154697418213,0.0006930598174221814,0.019055690616369247
11,0.000325374974636361,0.011557220481336117,0.0013215048238635063,0.024101242423057556
12,0.0003058923757635057,0.011217509396374226,0.0006000754656270146,0.018629837781190872
13,0.0002909936592914164,0.010941469110548496,0.0004859304754063487,0.016616519540548325
14,0.0002791957522276789,0.010706082917749882,0.0007126695127226412,0.019909845665097237
15,0.00026736751897260547,0.010460402816534042,0.0005962139111943543,0.018326302990317345
16,0.00025589679717086256,0.010212122462689877,0.000486322765937075,0.01647038199007511
17,0.00024648194084875286,0.010000460781157017,0.00041177403181791306,0.015273776836693287
18,0.00023919291561469436,0.009819631464779377,0.0006082163308747113,0.01840982399880886
19,0.0002319436753168702,0.009640480391681194,0.0004636228841263801,0.01536287646740675
20,0.00022589306172449142,0.00948239304125309,0.00042847811710089445,0.015944961458444595
21,0.000221346112084575,0.009354046545922756,0.0004236652166582644,0.015106303617358208
22,0.00021636454039253294,0.009223265573382378,0.00045240079634822905,0.015928274020552635
23,0.00021287065465003252,0.009125638753175735,0.0004686480388045311,0.01588011346757412
24,0.0002091829665005207,0.00902426429092884,0.0005591842927969992,0.016500502824783325
25,0.0002053140924545005,0.00892375037074089,0.000362585939001292,0.014223800040781498
26,0.00020134379155933857,0.008829358033835888,0.00041886986582539976,0.015263209119439125
27,0.00019772977975662798,0.008744165301322937,0.00036955237737856805,0.014499424025416374
28,0.00019388202053960413,0.008658401668071747,0.0003075459972023964,0.013051452115178108
29,0.00019045855151489377,0.008587725460529327,0.00040056483703665435,0.015154477208852768
30,0.00018651699065230787,0.008509470149874687,0.000328661291860044,0.013201948255300522
31,0.00018347012519370764,0.008445891551673412,0.00029313916456885636,0.012536318972706795
32,0.00018018879927694798,0.008376898244023323,0.0005249765235930681,0.014830553904175758
33,0.0001763121399562806,0.008279259316623211,0.0003469618677627295,0.013216487132012844
34,0.00017273992125410587,0.0081848856061697,0.00031296059023588896,0.012595211155712605
35,0.00016916113963816315,0.008092946372926235,0.00028130930149927735,0.012107398360967636
36,0.00016653354396112263,0.008016463369131088,0.0002859785163309425,0.01274452731013298
37,0.00016354775289073586,0.00793207623064518,0.000345593667589128,0.013629215769469738
38,0.0001608826860319823,0.007850470952689648,0.0002971981593873352,0.01218261756002903
39,0.00015818911197129637,0.007774291560053825,0.00022657944646198303,0.011251207441091537
40,0.0001555227063363418,0.007698008790612221,0.0003220793150831014,0.012356567196547985
41,0.00015390143380500376,0.007647422142326832,0.00024345950805582106,0.011607710272073746
42,0.00015150777471717447,0.007581090088933706,0.0003136394079774618,0.012341191060841084
43,0.00014978376566432416,0.0075279842130839825,0.0002860636741388589,0.012689572758972645
44,0.00014835508773103356,0.007483857683837414,0.000339829915901646,0.01267694029957056
45,0.00014579827256966382,0.0074175321497023106,0.0002747329999692738,0.012376642785966396
46,0.0001438382314518094,0.007359531708061695,0.0004507047706283629,0.015785997733473778
47,0.0001415545993950218,0.007298543117940426,0.0002945616433862597,0.011897027492523193
48,0.00013937540643382818,0.007239053025841713,0.0002429526357445866,0.011563654989004135
49,0.00013773245154879987,0.0071935937739908695,0.00021601872867904603,0.011024635285139084
50,0.0001353519328404218,0.007131264079362154,0.0002997889241669327,0.012824571691453457
51,0.00013393894187174737,0.007088075391948223,0.0004008765099570155,0.014902190305292606
52,0.00013215721992310137,0.007035454735159874,0.0003001510049216449,0.01254583615809679
53,0.0001312225649598986,0.00700098741799593,0.00020586770551744848,0.010946100577712059
54,0.00012946641072630882,0.006949116941541433,0.00022213433112483472,0.010923950932919979
55,0.00012805078586097807,0.006895667407661676,0.00021618879691231996,0.011020572856068611
56,0.00012664927635341883,0.006841931026428938,0.00022025860380381346,0.010905875824391842
57,0.00012464278552215546,0.006773908622562885,0.0003069787344429642,0.012929921969771385
58,0.00012315783533267677,0.006723631173372269,0.00017988757463172078,0.010051951743662357
59,0.00012155067815911025,0.006670566741377115,0.0002488903410267085,0.01099809817969799
60,0.00012048576172674075,0.0066291154362261295,0.0004463904770091176,0.014422822743654251
61,0.00011914609785890207,0.006586606148630381,0.0002467843587510288,0.01185467280447483
62,0.00011788814299507067,0.006551738828420639,0.0002069237525574863,0.010898225009441376
63,0.00011678563168970868,0.006518212147057056,0.00018646947864908725,0.010609189048409462
